subclone_1,subclone_2,total_tumor,days
1147.7907850852548,81.39919604784971,1229.1899811331045,219
1126.0158072100232,80.0991274473794,1206.1149346574027,220
1104.9179948553383,78.8372356676303,1183.7552305229685,221
1084.4792496457371,77.61224432726871,1162.0914939730058,222
1064.6835653315516,76.42297769309444,1141.106543024646,223
1045.5170277889079,75.26836068004069,1120.7853884689484,224
1026.9678150197258,74.14741885117415,1101.1152338708998,225
1009.0261767942126,73.05927785674498,1082.0854546509577,226
991.6414636826166,72.00201440756956,1063.6434780901861,227
974.762503870444,70.97385439130888,1045.736358261753,228
958.3752328210644,69.97408499044984,1028.3493178115143,229
942.4658412126419,69.00200408965297,1011.4678453022948,230
927.0207749381352,68.05692027575233,995.0776952138875,231
912.0267351052979,67.13815283775563,979.1648879430536,232
897.470678036678,66.24503176684411,963.7157098035221,233
883.3398152696183,65.37689775637268,948.716713025991,234
869.621613556256,64.53310220186978,934.1547157581258,235
856.3037948635231,63.71300720103746,920.0168020645606,236
843.3743363731462,62.91598555375139,906.2903219268976,237
830.8214704816467,62.14142076206079,892.9628912437074,238
818.6336848003401,61.3887070301885,880.0223918305286,239
806.7997221553373,60.65724926453095,867.4569714198683,240
795.3085805875432,59.94646307365815,855.2550436612014,241
784.1495133526578,59.25577476831373,843.4052881209715,242
773.3120289211753,58.58462136141487,831.8966502825901,243
762.7858909783849,57.93245056805239,820.7183415464374,244
752.5611184243701,57.29872080549065,809.8598392298608,245
742.6279853740093,56.68290119316767,799.310886567177,246
732.9770211569755,56.084471552695014,789.0614927096706,247
723.5990103177362,55.50292240785784,779.101932725594,248
714.4849926155537,54.93775498461492,769.4227476001686,249
705.6262630244848,54.38848121109861,760.0147442355834,250
697.014371733381,53.85462371761484,750.8689954509958,251
688.6411241458884,53.335715836643175,741.9768399825316,252
680.4985808804478,52.83130160283673,733.3298824832846,253
672.5790577702946,52.34093575302224,724.9199935233169,254
664.8751258634586,51.864183726200025,716.7393095896587,255
657.3796114227649,51.400621663543994,708.780233086309,256
650.0855959258324,50.94983640840165,701.0354323342341,257
642.9864160650752,50.511425506294096,693.4978415713693,258
636.0756637477017,50.084997204916014,686.1606609526177,259
629.3471860957153,49.670170454135686,679.017356549851,260
622.7950854459139,49.26657490599501,672.0616603519088,261
616.4137193498896,48.87385091470942,665.287570264599,262
610.1977005740298,48.49164953666801,658.6893501106978,263
604.141897099516,48.11963253043342,652.2615296299493,264
598.2414321223248,47.7574723567419,645.9989044790667,265
592.4916840532271,47.404852178503276,639.8965362317304,266
586.8882865177886,47.06146586080101,633.9497523785897,267
581.4271283563694,46.7270179708921,628.1541463272615,268
576.1043536241248,46.40122377820718,622.5055774023319,269
570.9163615910038,46.083809254350456,617.0001708453542,270
565.8598067417508,45.77451107309974,611.6343178148505,271
560.9315987759048,45.47307661040642,606.4046753863113,272
556.128902607799,45.179263944395494,601.3081665521945,273
