subclone_1,subclone_2,subclone_3,total_tumor,days
753491.2654334134,0.014370229540593998,2695.692641605422,756186.9724452484,328
759373.452975854,0.014262016077997278,2672.0084621831384,762045.4757000533,329
765297.7686224999,0.014155693306309801,2648.784805752998,767946.5675839463,330
771264.4548214697,0.014051216710559098,2626.0132472138584,773890.4821199003,331
777273.7546531182,0.013948543332240432,2603.6856988980667,779877.4543005596,332
783325.9118300353,0.013847631769316818,2581.7944105714514,785907.7200882385,333
789421.1706970467,0.013748442176219023,2560.3319694333304,791981.5164149222,334
795559.7762312132,0.013650936263845559,2539.291300116505,798099.081182266,335
801741.9740418318,0.013555077299562684,2518.6656646872643,804260.6532615963,336
807968.0103704345,0.013460830107204405,2498.448662645382,810466.47249391,337
814238.132090789,0.013368161067072478,2478.6342309241177,816716.7796898742,338
820552.5867088989,0.0132770381159364,2459.216643890217,823011.8166298273,339
826911.6223630027,0.013187430747033433,2440.1905133439113,829351.8260637774,340
833315.4815949616,0.013099310578220821,2421.5447327936045,835737.0394270658,341
839764.3994819499,0.013012650287314124,2403.2596008589926,842167.6720954592,342
846258.6246933739,0.0129274210693654,2385.327739207194,848643.9653600021,343
852798.4063070499,0.012843594507083318,2367.742391913468,855166.1615425579,344
859383.9932624002,0.01276114263615059,2350.496913745216,861734.502937288,345
866015.6343604536,0.01268003794522397,2333.5847701619778,868349.2318106536,346
872693.5782638456,0.012600253375934255,2316.999537315436,875010.5904014144,347
879418.0734968177,0.01252176232288628,2300.734902049413,881718.8209206294,348
886189.3684452181,0.01244453863365893,2284.784661899871,888474.1655516566,349
893007.7113565011,0.012368556608805127,2269.142725094914,895276.8664501526,350
899873.3503397276,0.012293791001851835,2253.803110554786,902127.1657440735,351
906786.533365565,0.012220217019300064,2238.7599478918723,909025.305533674,352
913747.5082662869,0.012147810320624862,2224.007477410698,915971.527891508,353
920756.5227357734,0.012076547018275326,2209.540050107929,922966.0748624284,354
927813.8243295108,0.012006403677674585,2195.352127672372,930009.1884635868,355
934919.660464592,0.011937357317219822,2181.4382824849736,937101.1106844344,356
942074.2784197164,0.011869385408282255,2167.793197618823,944242.0834867206,357
949277.9253351894,0.011802465875207144,2154.4116668391475,951432.3488044945,358
956530.8482129234,0.011736577095313798,2141.288594603317,958672.1485441038,359
963833.2939164366,0.01167169789889556,2128.418996060841,965961.7245841954,360
971185.509170854,0.011607807569219822,2115.7979970533697,973301.318775715,361
978587.7405629066,0.011544885842528014,2103.4208341146937,980691.1729419071,362
986040.2345409322,0.01148291290803561,2091.2828544707454,988131.5288783159,363
