subclone_1,subclone_2,subclone_3,subclone_4,subclone_5,total_tumor,days
1495.1326791235065,28826.530662671907,7923.244817556262,0.0,5637.0161578044335,43881.92431715611,247
1500.1761798094565,28708.41956001518,7798.072798055422,0.0,5597.254323566831,43603.92286144689,248
1505.2368342556701,28589.435859934085,7675.370051313626,0.0,5557.75689982708,43327.79964533046,249
1510.314700375054,28469.600351071116,7555.107250532068,0.0,5518.525522266215,43053.54782424445,250
1515.4098362777702,28348.934156756906,7437.256337375349,0.0,5479.561701438932,42781.16203184896,251
1520.5223002712366,28227.45873501022,7321.79052197147,0.0,5440.866822773578,42510.6383800265,252
1525.652150860127,28105.195878537954,7208.684282911856,0.0,5402.442146572159,42241.9744588821,253
1530.7994467463704,27982.16771473515,7097.913367251338,0.0,5364.288808010334,41975.169336743194,254
1535.964246829152,27858.39670568498,6989.454790508147,0.0,5326.407817137422,41710.2235601597,255
1541.1466102049121,27733.90564815874,6883.286836663936,0.0,5288.800058876394,41447.13915390398,256
1546.3465961673471,27608.71767361588,6779.389058163764,0.0,5251.466293023881,41185.919620970875,257
1551.5642642074088,27482.85624820397,6677.7422759161,0.0,5214.407154250164,40926.56994257764,258
1556.799674013305,27356.345172758727,6578.328579292816,0.0,5177.623152099185,40669.09657816403,259
1562.052885470499,27229.208582804,6481.131326129211,0.0,5141.11467098854,40413.50746539225,260
1567.3239586617094,27101.47094855176,6386.13514272397,0.0,5104.881970209481,40159.812020146914,261
1572.6129538669113,26973.15707490213,6293.325923839209,0.0,5068.925183926915,39908.021136535164,262
1577.9199315633346,26844.292101443363,6202.690832700446,0.0,5033.244321179409,39658.147186886556,263
1583.2449524254655,26714.90150245184,6114.218300996599,0.0,4997.83926587918,39410.20402175308,264
1588.5880773250456,26585.01108689209,6027.898028880023,0.0,4962.709776812104,39164.20696990926,265
1593.9493673310722,26454.646998416763,5943.720984966445,0.0,4927.855487637713,38920.172838351995,266
1599.328883709798,26323.83571536666,5861.679406335041,0.0,4893.275906889194,38678.119912300695,267
1604.726687924732,26192.604050770697,5781.766798528359,0.0,4858.970417973391,38438.06795519718,268
1610.1428416366384,26060.979152345946,5703.977935552384,0.0,4824.938279170803,38200.03820870577,269
1615.5774067035372,25928.9885024976,5628.308859876508,0.0,4791.178623635586,37964.05339271323,270
1621.030444771056,25796.65772189422,5554.688978558187,0.0,4757.6917226840915,37730.06886790755,271
1626.502015538363,25663.99948446977,5482.668140914055,0.0,4724.484576171394,37497.654217093586,272
1631.9921812129185,25531.035936524546,5412.136860338877,0.0,4691.557425154387,37266.72240323073,273
1637.5010047062965,25397.791334747402,5343.062638890365,0.0,4658.90904800696,37037.264026351026,274
1643.028549154605,25264.289675805034,5275.413453445009,0.0,4626.538214291439,36809.26989269609,275
1648.574877918486,25130.554696341984,5209.157755698089,0.0,4594.443684758581,36582.73101471714,276
1654.1400545831166,24996.60987298065,5144.264472163668,0.0,4562.624211347583,36357.63861107502,277
1659.7241429582073,24862.478422321266,5080.703004174594,0.0,4531.078537186073,36133.98410664014,278
1665.3272070780033,24728.183300941924,5018.443227882499,0.0,4499.805396590115,35911.75913249254,279
1670.9493112012838,24593.747205398562,4957.4554942578,0.0,4468.80351506421,35690.955525921854,280
1676.5905198113626,24459.19257222496,4897.710629089699,0.0,4438.071609301292,35471.565330427315,281
